Course Code,Degree,Degree Specializations,Campus,Key Skills,Algorithm,Success Rate
1709,B.E. ,Computer Science Engineering,MITAOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",Content-Based,35
1898,B.E. ,Computer Science Engineering,MITAOE,"C, Java, CPP, HTML, CMStool, MYSQL",Content-Based,35
7408,B.E. ,Computer Science Engineering,MITCOE,"Java, JavasCript, CPP, Laravel Phpframework  , HTML, Android, php, CSS",LLM (GPT-4),35
2954,B.E. ,Computer Science Engineering,MITCOE,"C, Java, CPP, HTML, CMStool, MYSQL",LLM (GPT-4),35
1135,B.E. ,Mechanical,MITAOE,"SOLIDWORKS, AUTOCAD, CREO",Content-Based,0
1014,B.E. ,Mechanical,MITAOE,AUTOCAD,Content-Based,0
1106,B.E. ,Mechanical,MITAOE,"AutoCAD, PROE",Content-Based,0
1095,B.E. ,Mechanical,MITCOE,"AutoCAD, PROE",Content-Based,0
1045,B.E. ,Mechanical,MITCOE,"AutoCAD, PROE",Content-Based,0
1044,B.E. ,Mechanical,MITAOE,"AutoCAD, PROE",Content-Based,0
1035,B.E. ,Mechanical,MITCOE,"AutoCAD, PROE",Content-Based,0
1033,B.E. ,Mechanical,MITAOE,"AutoCAD, PROE",Content-Based,0
