userid,degree_1,degree_1_specializations,known_languages,key_skills,career_objective,key_skills_str
1001,B.E.,Computer Science Engineering,"['English', ' Marathi', ' Hindi']","['C', ' Java', ' Keras', ' Flask', ' Deep Learning', ' Selenium', ' cpp', ' Django', ' Python', ' Computer Vision', ' HTML', ' MySQL', ' Tensorflow', ' Machine Learning', ' Web Development']","Computer Engineering student with good technical skills and problem solving abilities. Areas of interest include Computer Vision, Deep Learning, Machine Learning, and Research.","C,  Java,  Keras,  Flask,  Deep Learning,  Selenium,  cpp,  Django,  Python,  Computer Vision,  HTML,  MySQL,  Tensorflow,  Machine Learning,  Web Development"
1002,B.E.,Computer Science Engineering,['Hindi English'],"['Java', ' Neural Networks', ' AI', ' Python', ' Html5', ' CPP']",Interested in working under company offering AI/Neural Networking outlooks.,"Java,  Neural Networks,  AI,  Python,  Html5,  CPP"
1003,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1004,B.E.,Computer Science Engineering,"['English', ' Hindi', ' Marathi', ' Marwari']","['XML', ' C', ' Java', ' Data Structures', ' Python', ' MongoDB', ' Javascript', ' Programming', ' PL/SQL', ' Machine Learning', ' CPP', ' Database', ' HTML', ' Object-Oriented Programming', ' MySQL', ' Oracle', ' Mathematics', ' PHP', ' Physics']","Currently a final year student of Computer Engineering at the MIT College of Engineering. Passionate about learning the new and emerging technologies. Quick learner and team player, focused on my goals and strive to achieve them. Actively engaged in activities of Entrepreneurship Cell in the college as well as in various empowerment activities and social awareness campaigns. I like to connect with people and want to go on a world tour someday.","XML,  C,  Java,  Data Structures,  Python,  MongoDB,  Javascript,  Programming,  PL/SQL,  Machine Learning,  CPP,  Database,  HTML,  Object-Oriented Programming,  MySQL,  Oracle,  Mathematics,  PHP,  Physics"
1005,B.E.,Computer Science Engineering,"['English', 'Hindi  ', 'Kashmiri ', ' Urdu']","['XML', ' Word', ' Data Structures', ' Communication', ' GUI', ' MySQL', ' Ubuntu', ' OOPs', ' Team', ' Maths', ' Html5']","To have a growth oriented and challenging career, where I can contribute my knowledge and skills to the Organization and enhance my experience through continuous learning and teamwork.","XML,  Word,  Data Structures,  Communication,  GUI,  MySQL,  Ubuntu,  OOPs,  Team,  Maths,  Html5"
1006,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1007,B.E.,Computer Science Engineering,['Unknown'],['Unknown'],Unknown,Unknown
1008,B.E.,Computer Science Engineering,['Telgu English Hindi Marathi'],"['Operating System', ' Database', ' cpp', ' Machine Learning', ' Algorithms', ' Java']","To perceive a career in a renowned firm with dedicated efforts and to associate myself with an
organization that gives me an opportunity to improve my skills and knowledge to growth along
with the organisation objective.","Operating System,  Database,  cpp,  Machine Learning,  Algorithms,  Java"
1009,B.E.,Computer Science Engineering,"['English', 'Hindi', 'Marathi']","['C', ' Advanced Java', ' HTML', ' Core Java', ' MySQL', ' CPP']","To secure a responsible career opportunity to fully utilize my skills ,while making a significant contribution to the success of the company","C,  Advanced Java,  HTML,  Core Java,  MySQL,  CPP"
1010,B.E.,Computer Science Engineering,['Hindi English'],['Unknown'],Organized and motivated fresher with excellent communication skills seeking to leverage my talent and prove to be a valuable asset to the organization.,Unknown
